title,url,word_count,issue
Hairdresser,https://outreachrecruitment.net/jobs/hairdresser,1817,Salary/baseSalary missing or not specific
Pool Attendants,https://outreachrecruitment.net/jobs/pool-attendants,2291,Salary/baseSalary missing or not specific
Head Chef,https://outreachrecruitment.net/jobs/head-chef,3394,Salary/baseSalary missing or not specific
Hospitality Staff – Malta,https://outreachrecruitment.net/jobs/hospitality-staff-malta,1861,Salary/baseSalary missing or not specific
Driver / Runner / Washer,https://outreachrecruitment.net/jobs/driver-runner-washer,2273,Salary/baseSalary missing or not specific
Level 2 Platform Ops Engineer,https://outreachrecruitment.net/jobs/level-2-platform-ops-engineer,2919,Salary/baseSalary missing or not specific
Sales Shift Manager,https://outreachrecruitment.net/jobs/sales-shift-manager,2606,Salary/baseSalary missing or not specific
Sous Chef,https://outreachrecruitment.net/jobs/sous-chef,2492,Salary/baseSalary missing or not specific
Driver – Category C License,https://outreachrecruitment.net/jobs/driver-category-c-license,2129,Salary/baseSalary missing or not specific
Supervisor,https://outreachrecruitment.net/jobs/supervisor,1826,Salary/baseSalary missing or not specific
Technical Systems Analyst,https://outreachrecruitment.net/jobs/technical-systems-analyst,2572,Salary/baseSalary missing or not specific
Customer Operations Associate,https://outreachrecruitment.net/jobs/customer-operations-associate,2392,Salary/baseSalary missing or not specific
Structural Engineer,https://outreachrecruitment.net/jobs/structural-engineer,2120,Salary/baseSalary missing or not specific
Customer Experience Supervisor,https://outreachrecruitment.net/jobs/customer-experience-supervisor,2364,Salary/baseSalary missing or not specific
Senior Quantity Estimator (M&E),https://outreachrecruitment.net/jobs/senior-quantity-estimator-me,2413,Salary/baseSalary missing or not specific
Sales Representative in Renewables,https://outreachrecruitment.net/jobs/sales-representative-in-renewables,2384,Salary/baseSalary missing or not specific
HVAC Project Manager,https://outreachrecruitment.net/jobs/hvac-project-manager,2410,Salary/baseSalary missing or not specific
HVAC Sales Representative,https://outreachrecruitment.net/jobs/hvac-sales-representative,2397,Salary/baseSalary missing or not specific
Maintenance Technician - Electrical Licence A or B),https://outreachrecruitment.net/jobs/maintenance-technician-electrical-licence-a-or-b,2317,Salary/baseSalary missing or not specific
Sales Executive,https://outreachrecruitment.net/jobs/sales-executive,2523,Salary/baseSalary missing or not specific
Head Chef - Maltese Cuisine,https://outreachrecruitment.net/jobs/head-chef-maltese-cuisine,2533,Salary/baseSalary missing or not specific
Marketing Assistant,https://outreachrecruitment.net/jobs/marketing-assistant,2210,Salary/baseSalary missing or not specific
IT Support Executive,https://outreachrecruitment.net/jobs/it-support-executive,2754,Salary/baseSalary missing or not specific
Commis,https://outreachrecruitment.net/jobs/commis,1879,Salary/baseSalary missing or not specific
Labourer Mechanic,https://outreachrecruitment.net/jobs/labourer-mechanic,2289,Salary/baseSalary missing or not specific
Electrician Installer,https://outreachrecruitment.net/jobs/electrician-installer,1941,Salary/baseSalary missing or not specific
Plumbers,https://outreachrecruitment.net/jobs/plumbers,1928,Salary/baseSalary missing or not specific
General Maintenance Technician,https://outreachrecruitment.net/jobs/general-maintenance-technician,2348,Salary/baseSalary missing or not specific
Spa Therapist,https://outreachrecruitment.net/jobs/spa-therapist,1814,Salary/baseSalary missing or not specific
Front Office Assistant,https://outreachrecruitment.net/jobs/front-office-assistant,2088,Salary/baseSalary missing or not specific
Kitchen Assistant - Chinese Cuisine,https://outreachrecruitment.net/jobs/kitchen-assistant-chinese-cuisine,2304,Salary/baseSalary missing or not specific
