title,url,eligible,issue
Aluminum Install and Fabrication Foreman,https://outreachrecruitment.net/jobs/aluminum-install-and-fabrication-foreman,True,
Bricklayers,https://outreachrecruitment.net/jobs/bricklayers,True,
Audit Senior,https://outreachrecruitment.net/jobs/audit-senior,True,
Product Owner - Hybrid,https://outreachrecruitment.net/jobs/product-owner-hybrid,True,
Steel Shutterers & Steel Fixers,https://outreachrecruitment.net/jobs/steel-shutterers-steel-fixers,True,
Volvo Penta Mechanic,https://outreachrecruitment.net/jobs/volvo-penta-mechanic,True,
Sign Assembler & Installer,https://outreachrecruitment.net/jobs/sign-assembler-installer,True,
Waiters,https://outreachrecruitment.net/jobs/waiters,True,
Shop Assistant (Safi and Tarxien),https://outreachrecruitment.net/jobs/shop-assistant-safi-and-tarxien,True,
Workshop Administrator,https://outreachrecruitment.net/jobs/workshop-administrator,True,
Senior Sales Assistant - Maltese Speaking,https://outreachrecruitment.net/jobs/senior-sales-assistant-maltese-speaking,True,
Hotel Porter,https://outreachrecruitment.net/jobs/hotel-porter,True,
Boat Maintenance,https://outreachrecruitment.net/jobs/boat-maintenance,True,
Demi Chef de Partie (Breakfast Shift),https://outreachrecruitment.net/jobs/demi-chef-de-partie-breakfast-shift,True,
Sales and Customer Executive,https://outreachrecruitment.net/jobs/sales-and-customer-executive,True,
First Line Support - Hybrid,https://outreachrecruitment.net/jobs/first-line-support-hybrid,True,
Semi-Senior Accountant,https://outreachrecruitment.net/jobs/semi-senior-accountant,True,
Kitchen Porter,https://outreachrecruitment.net/jobs/kitchen-porter-2,True,
Barista,https://outreachrecruitment.net/jobs/barista-2,True,
Sales Executive,https://outreachrecruitment.net/jobs/sales-executive-2,True,
Housekeeper,https://outreachrecruitment.net/jobs/housekeeper-2,True,
Kitchen Porter,https://outreachrecruitment.net/jobs/kitchen-porter-3,True,
Commis,https://outreachrecruitment.net/jobs/commis-2,True,
Chef de Partie,https://outreachrecruitment.net/jobs/chef-de-partie-2,True,
Barista,https://outreachrecruitment.net/jobs/barista-3,True,
Head Chef,https://outreachrecruitment.net/jobs/head-chef-2,True,
Sales Executive,https://outreachrecruitment.net/jobs/sales-executive-3,True,
Spa Therapist,https://outreachrecruitment.net/jobs/spa-therapist-2,True,
Sous Chef,https://outreachrecruitment.net/jobs/sous-chef-2,True,
Head Chef,https://outreachrecruitment.net/jobs/head-chef-3,True,
Chef De Partie,https://outreachrecruitment.net/jobs/chef-de-partie-3,True,
Barista,https://outreachrecruitment.net/jobs/barista-4,True,
IT Support Executive,https://outreachrecruitment.net/jobs/it-support-executive-2,True,
Structural Engineer,https://outreachrecruitment.net/jobs/structural-engineer-2,True,
Quantity surveyor,https://outreachrecruitment.net/jobs/quantity-surveyor-2,True,
Accounts Senior,https://outreachrecruitment.net/jobs/accounts-senior-2,True,
Shop Assistant,https://outreachrecruitment.net/jobs/shop-assistant,True,
